"id","quality","variety","price","distance","courteousness","atmosphere","rating_PinkBerry","rating_RedMango","rating_16Handles","rank_PinkBerry","rank_RedMango","rank_16Handles","rewardsCard_16Handles","social","gender"
432,2,2,2,2,2,2,1,4,3,2,1,3,1,3,2
433,4,3,4,4,3,3,3,3,4,3,1,2,1,1,1
434,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
435,3,5,5,3,4,4,4,4,3,1,2,3,1,3,2
436,2,2,2,2,1,2,1,2,2,3,1,2,1,1,2
437,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
438,4,3,4,4,3,3,3,3,4,3,1,2,1,1,1
439,1,1,1,1,1,1,5,1,1,2,3,1,2,1,1
440,2,2,2,2,1,2,1,2,2,3,1,2,1,3,2
441,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
442,2,2,2,2,1,2,1,2,2,3,1,2,1,1,2
443,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
444,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
445,4,3,4,4,3,3,3,5,5,3,1,2,1,2,1
446,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
447,4,3,4,4,4,3,3,3,4,3,1,2,2,5,2
448,2,2,2,2,2,2,1,2,2,3,1,2,2,1,2
449,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
450,4,3,4,4,3,3,3,5,5,3,1,2,2,1,2
451,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
452,1,1,1,1,1,1,5,1,1,2,3,1,2,4,2
453,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
454,3,2,5,3,2,2,1,4,3,2,1,3,1,2,2
455,3,5,5,3,2,4,4,4,3,1,2,3,2,3,2
456,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
457,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
458,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
459,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
460,4,3,4,4,3,3,3,5,5,3,1,2,2,4,2
461,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
462,2,2,2,2,1,2,1,2,2,3,1,2,1,2,1
463,3,5,5,3,4,4,4,4,3,1,2,3,2,2,2
464,4,3,4,4,4,4,4,3,4,3,2,1,2,2,2
465,4,3,4,4,4,4,4,3,4,3,2,1,1,3,2
466,2,2,2,2,2,2,1,4,3,2,1,3,2,2,2
467,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
468,5,4,3,5,5,5,2,5,5,3,1,2,1,3,1
469,2,2,2,2,2,2,1,2,2,3,1,2,2,4,2
470,2,1,2,2,1,2,1,2,2,3,1,2,1,1,1
471,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
472,2,2,2,2,1,2,1,2,2,3,1,2,1,4,2
473,2,2,2,2,2,2,1,4,3,2,1,3,1,2,2
474,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
475,3,5,5,3,2,2,1,4,3,2,1,3,1,3,2
476,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
477,5,4,3,5,5,5,2,5,5,3,1,2,2,4,1
478,5,4,3,5,5,5,2,5,5,3,1,2,2,5,1
479,3,5,5,3,2,2,1,4,3,2,1,3,2,1,2
480,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
481,3,5,5,3,4,4,4,4,3,1,2,3,2,2,2
482,2,2,2,2,1,2,1,2,2,3,1,2,2,2,2
483,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
484,5,4,3,5,5,5,2,5,5,3,1,2,2,4,2
485,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
486,5,4,3,5,5,5,2,5,5,3,1,2,2,4,1
487,5,4,3,5,3,5,2,5,5,3,1,2,2,1,2
488,3,5,5,3,4,4,4,3,4,3,2,1,2,4,2
489,5,4,3,5,5,5,2,5,5,3,1,2,2,3,1
490,1,1,1,1,1,1,5,1,1,2,3,1,1,3,1
491,3,5,5,3,4,4,4,3,4,3,2,1,1,3,2
492,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
493,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
494,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
495,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
496,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
497,3,5,5,3,4,4,4,4,3,1,2,3,2,4,2
498,5,4,3,5,5,5,2,5,5,3,1,2,1,5,2
499,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
500,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
501,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
502,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
503,4,3,4,4,3,3,3,3,4,3,1,2,1,1,2
504,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
505,3,5,5,3,4,4,4,4,3,1,2,3,1,4,2
506,4,5,4,4,4,4,4,3,4,3,2,1,2,2,2
507,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
508,3,5,5,3,2,4,4,4,3,1,2,3,1,1,2
509,5,3,3,5,3,5,2,5,5,3,1,2,1,1,1
510,4,3,4,4,4,3,3,3,4,3,1,2,1,4,2
511,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
512,2,2,2,2,1,2,1,2,2,3,1,2,2,1,2
513,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
514,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
515,4,3,4,4,3,3,3,5,5,3,1,2,2,3,2
516,3,5,5,3,4,4,4,3,4,3,2,1,1,4,1
517,3,5,5,3,2,4,4,4,3,1,2,3,2,4,2
518,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
519,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
520,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
521,1,1,1,1,1,1,5,1,1,2,3,1,2,3,2
522,4,3,4,4,3,3,3,5,4,2,1,3,2,3,2
523,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
524,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
525,4,3,4,4,3,3,3,5,4,2,1,3,1,3,2
526,4,3,4,4,4,4,4,3,4,3,2,1,2,1,2
527,3,2,5,3,2,2,1,4,3,2,1,3,1,4,2
528,5,3,3,5,3,5,2,5,5,3,1,2,1,1,2
529,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
530,2,2,2,2,2,2,1,4,3,2,1,3,1,4,2
531,4,3,4,4,3,3,3,5,4,2,1,3,2,2,2
532,4,5,4,4,4,4,4,3,4,3,2,1,2,1,1
533,4,5,4,4,4,4,4,3,4,3,2,1,2,1,2
534,3,5,5,3,4,4,4,3,4,3,2,1,1,2,2
535,3,5,5,3,4,4,4,3,4,3,2,1,2,5,2
536,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
537,2,2,2,2,2,2,1,4,3,2,1,3,1,4,2
538,5,3,3,5,3,5,2,5,5,3,1,2,1,3,2
539,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
540,3,5,5,3,4,4,4,3,4,3,2,1,2,2,1
541,4,3,4,4,4,4,4,3,4,3,2,1,1,1,1
542,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
543,5,4,3,5,5,5,2,5,5,3,1,2,2,4,2
544,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
545,5,3,3,5,3,5,2,5,5,3,1,2,2,2,2
546,3,5,5,3,2,4,4,4,3,1,2,3,2,1,2
547,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
548,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
549,4,3,4,4,3,3,3,5,5,3,1,2,1,2,1
550,4,3,4,4,3,3,3,5,5,3,1,2,2,4,2
551,3,5,5,3,4,4,4,3,4,3,2,1,2,3,2
552,4,3,4,4,3,3,3,5,4,2,1,3,2,4,2
553,4,3,4,4,3,3,3,5,5,3,1,2,2,4,2
554,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
555,5,4,3,5,5,5,2,5,5,3,1,2,2,1,1
556,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
557,2,2,2,2,2,2,1,2,2,3,1,2,2,1,2
558,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
559,2,2,2,2,2,2,1,2,2,3,1,2,1,1,1
560,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
561,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
562,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
563,2,2,2,2,1,2,1,2,2,3,1,2,1,3,1
564,2,2,2,2,2,2,1,4,3,2,1,3,1,5,2
565,1,1,1,1,1,1,5,1,1,2,3,1,1,2,1
566,4,3,4,4,3,3,3,5,4,2,1,3,2,2,2
567,4,3,4,4,4,4,4,3,4,3,2,1,1,2,2
568,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
569,4,3,4,4,4,4,4,3,4,3,2,1,1,1,2
570,5,3,3,5,3,5,2,5,5,3,1,2,1,3,2
571,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
572,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
573,1,1,1,1,1,1,5,1,1,2,3,1,2,1,1
574,4,3,4,4,4,4,4,3,4,3,2,1,2,1,2
575,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
576,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
577,4,5,4,4,4,4,4,3,4,3,2,1,1,4,2
578,3,2,5,3,2,2,1,4,3,2,1,3,2,3,2
579,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
580,4,3,4,4,3,3,3,5,4,2,1,3,2,1,2
581,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
582,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
583,5,3,3,5,3,5,2,5,5,3,1,2,1,3,1
584,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
585,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
586,4,3,4,4,4,4,4,3,4,3,2,1,1,5,2
587,1,1,1,1,1,1,5,1,1,2,3,1,2,3,2
588,5,3,3,5,3,5,2,5,5,3,1,2,1,5,2
589,3,5,5,3,4,4,4,3,4,3,2,1,1,4,2
590,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
591,4,3,4,4,4,3,3,3,4,3,1,2,3,2,2
592,2,2,2,2,2,2,1,2,2,3,1,2,2,1,1
593,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
594,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
595,2,2,2,2,1,2,1,2,2,3,1,2,2,3,2
596,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
597,1,1,1,1,1,1,5,1,1,2,3,1,2,2,1
598,3,5,5,3,2,2,1,4,3,2,1,3,1,1,1
599,5,3,3,5,3,5,2,5,5,3,1,2,2,2,2
600,4,3,4,4,3,3,3,3,4,3,1,2,1,1,2
601,3,5,5,3,2,2,1,4,3,2,1,3,1,2,2
602,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
603,4,3,4,4,4,4,4,3,4,3,2,1,2,5,2
604,5,4,3,5,5,5,2,5,5,3,1,2,2,5,2
605,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
606,4,3,4,4,4,3,3,3,4,3,1,2,1,2,2
607,3,5,5,3,4,4,4,3,4,3,2,1,2,2,2
608,3,2,5,3,2,2,1,4,3,2,1,3,1,2,2
609,3,5,5,3,2,2,1,4,3,2,1,3,1,2,2
610,1,1,1,1,1,1,5,1,1,2,3,1,1,3,2
611,1,1,1,1,1,1,5,1,1,2,3,1,2,4,2
612,3,5,5,3,2,4,4,4,3,1,2,3,1,1,2
613,1,1,1,1,1,1,5,1,1,2,3,1,1,3,2
614,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
615,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
616,5,4,3,5,5,5,2,5,5,3,1,2,1,4,1
617,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
618,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
619,4,5,4,4,4,4,4,3,4,3,2,1,1,2,2
620,2,2,2,2,2,2,1,2,2,3,1,2,2,3,1
621,4,3,4,4,3,3,3,5,5,3,1,2,1,1,1
622,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
623,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
624,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
625,5,4,3,5,5,5,2,5,5,3,1,2,2,5,2
626,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
627,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
628,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
629,2,2,2,2,2,2,1,2,2,3,1,2,1,3,2
630,2,2,2,2,1,2,1,2,2,3,1,2,1,3,2
631,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
632,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
633,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
634,3,5,5,3,4,4,4,4,3,1,2,3,2,4,2
635,4,3,4,4,3,3,3,5,4,2,1,3,2,1,1
636,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
637,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
638,1,1,1,1,1,1,5,1,1,2,3,1,1,3,2
639,1,1,1,1,1,1,5,1,1,2,3,1,3,5,2
640,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
641,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
642,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
643,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
644,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
645,4,3,4,4,3,3,3,5,4,2,1,3,1,1,1
646,3,5,5,3,2,4,4,4,3,1,2,3,1,1,2
647,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
648,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
649,4,3,4,4,4,3,3,3,4,3,1,2,2,1,2
650,2,2,2,2,1,2,1,2,2,3,1,2,2,2,2
651,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
652,4,3,4,4,3,3,3,5,4,2,1,3,1,2,2
653,5,3,3,5,3,5,2,5,5,3,1,2,2,2,2
654,3,5,5,3,2,4,4,4,3,1,2,3,1,2,2
655,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
656,3,5,5,3,4,4,4,4,3,1,2,3,1,5,2
657,4,3,4,4,4,4,4,3,4,3,2,1,1,3,2
658,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
659,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
660,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
661,3,5,5,3,2,4,4,4,3,1,2,3,2,1,2
662,3,5,5,3,2,4,4,4,3,1,2,3,1,5,2
663,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
664,3,5,5,3,2,2,1,4,3,2,1,3,1,2,2
665,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
666,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
667,3,5,5,3,2,2,1,4,3,2,1,3,2,1,2
668,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
669,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
670,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
671,4,3,4,4,3,3,3,5,4,2,1,3,2,5,1
672,5,4,3,5,5,5,2,5,5,3,1,2,2,4,1
673,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
674,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
675,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
676,3,5,5,3,2,2,1,4,3,2,1,3,1,5,2
677,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
678,5,4,3,5,3,5,2,5,5,3,1,2,2,1,2
679,3,5,5,3,2,2,1,4,3,2,1,3,2,1,1
680,2,2,2,2,2,2,1,2,2,3,1,2,2,2,1
681,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
682,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
683,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
684,3,5,5,3,4,4,4,4,3,1,2,3,1,3,2
685,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
686,4,3,4,4,3,3,3,5,5,3,1,2,2,4,1
687,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
688,2,2,2,2,1,2,1,2,2,3,1,2,2,5,1
689,4,3,4,4,4,4,4,3,4,3,2,1,1,2,1
690,2,2,2,2,2,2,1,2,2,3,1,2,2,1,2
691,2,2,2,2,2,2,1,4,3,2,1,3,2,5,2
692,4,3,4,4,3,3,3,5,5,3,1,2,1,1,2
693,4,3,4,4,4,3,3,3,4,3,1,2,2,2,2
694,4,3,4,4,3,3,3,5,5,3,1,2,1,1,1
695,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
696,3,2,5,3,2,2,1,4,3,2,1,3,1,1,1
697,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
698,3,5,5,3,2,4,4,4,3,1,2,3,1,1,2
699,2,2,2,2,1,2,1,2,2,3,1,2,1,1,2
700,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
701,3,5,5,3,4,4,4,4,3,1,2,3,1,3,2
702,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
703,4,3,4,4,4,4,4,3,4,3,2,1,2,1,2
704,4,3,4,4,4,4,4,3,4,3,2,1,2,5,2
705,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
706,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
707,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
708,2,2,2,2,1,2,1,2,2,3,1,2,1,2,1
709,4,3,4,4,3,3,3,3,4,3,1,2,1,4,2
710,4,3,4,4,3,3,3,5,5,3,1,2,1,2,1
711,2,2,2,2,1,2,1,2,2,3,1,2,1,2,1
712,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
713,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
714,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
715,1,1,1,1,1,1,5,1,1,2,3,1,2,3,1
716,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
717,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
718,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
719,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
720,3,5,5,3,2,4,4,4,3,1,2,3,1,1,2
721,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
722,5,4,3,5,5,5,2,5,5,3,1,2,2,2,1
723,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
724,3,5,5,3,4,4,4,3,4,3,2,1,2,2,2
725,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
726,4,3,4,4,3,3,3,5,5,3,1,2,2,1,2
727,5,4,3,5,5,5,2,5,5,3,1,2,1,4,2
728,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
729,4,5,4,4,4,4,4,3,4,3,2,1,1,2,2
730,5,4,3,5,3,5,2,5,5,3,1,2,2,4,2
731,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2
732,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
733,4,5,4,4,4,4,4,3,4,3,2,1,1,4,2
734,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
735,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
736,4,3,4,4,4,4,4,3,4,3,2,1,1,3,2
737,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
738,1,1,1,1,1,1,5,1,1,2,3,1,1,2,1
739,4,3,4,4,4,4,4,3,4,3,2,1,1,1,1
740,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
741,4,3,4,4,3,3,3,5,4,2,1,3,2,5,1
742,4,3,4,4,3,3,3,3,4,3,1,2,2,1,2
743,4,3,4,4,3,3,3,5,5,3,1,2,2,2,2
744,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
745,1,1,1,1,1,1,5,1,1,2,3,1,1,2,1
746,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
747,1,1,1,1,1,1,5,1,1,2,3,1,2,1,2
748,4,3,4,4,4,4,4,3,4,3,2,1,1,5,2
749,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
750,3,5,5,3,2,2,1,4,3,2,1,3,1,2,2
751,2,2,2,2,2,2,1,2,2,3,1,2,1,1,2
752,3,5,5,3,4,4,4,4,3,1,2,3,1,2,2
753,4,3,4,4,4,3,3,3,4,3,1,2,1,3,2
754,3,5,5,3,2,4,4,4,3,1,2,3,1,4,2
755,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
756,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
757,3,5,5,3,4,4,4,4,3,1,2,3,2,1,1
758,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
759,4,3,4,4,4,3,3,3,4,3,1,2,1,2,2
760,4,3,4,4,4,3,3,3,4,3,1,2,1,2,2
761,4,3,4,4,3,3,3,5,5,3,1,2,2,2,1
762,5,4,3,5,5,5,2,5,5,3,1,2,1,3,1
763,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
764,5,4,3,5,5,5,2,5,5,3,1,2,1,5,2
765,1,1,1,1,1,1,5,1,1,2,3,1,2,2,2
766,3,5,5,3,2,2,1,4,3,2,1,3,2,2,2
767,4,3,4,4,3,3,3,5,5,3,1,2,2,1,2
768,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
769,4,3,4,4,3,3,3,3,4,3,1,2,2,2,2
770,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
771,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
772,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
773,5,4,3,5,5,5,2,5,5,3,1,2,2,5,1
774,4,3,4,4,3,3,3,5,4,2,1,3,1,1,1
775,4,3,4,4,3,3,3,3,4,3,1,2,2,2,2
776,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
777,2,2,2,2,2,2,1,2,2,3,1,2,2,1,2
778,3,5,5,3,4,4,4,3,4,3,2,1,1,4,2
779,5,4,3,5,5,5,2,5,5,3,1,2,2,4,2
780,1,1,1,1,1,1,5,1,1,2,3,1,2,2,1
781,3,5,5,3,4,4,4,3,4,3,2,1,1,5,1
782,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
783,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
784,4,3,4,4,3,3,3,3,4,3,1,2,1,2,2
785,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
786,3,5,5,3,4,4,4,3,4,3,2,1,1,1,2
787,2,2,2,2,1,2,1,2,2,3,1,2,1,1,2
788,5,4,3,5,5,5,2,5,5,3,1,2,2,5,1
789,1,1,1,1,1,1,5,1,1,2,3,1,1,2,2
790,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
791,5,4,3,5,5,5,2,5,5,3,1,2,2,5,2
792,5,4,3,5,5,5,2,5,5,3,1,2,1,2,1
793,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
794,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
795,4,3,4,4,4,3,3,3,4,3,1,2,1,2,2
796,3,5,5,3,4,4,4,3,4,3,2,1,2,1,2
797,4,3,4,4,3,3,3,5,4,2,1,3,1,1,2
798,4,3,4,4,4,3,3,3,4,3,1,2,1,3,2
799,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2
800,3,5,5,3,4,4,4,3,4,3,2,1,1,2,2
801,4,5,4,4,4,4,4,3,4,3,2,1,1,2,2
802,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
803,4,3,4,4,3,3,3,5,5,3,1,2,1,2,2
804,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
805,3,5,5,3,2,2,1,4,3,2,1,3,2,1,1
806,3,5,5,3,4,4,4,4,3,1,2,3,2,2,2
807,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
808,5,4,3,5,5,5,2,5,5,3,1,2,1,1,1
809,2,2,2,2,2,2,1,4,3,2,1,3,1,2,2
810,3,5,5,3,2,2,1,4,3,2,1,3,2,2,2
811,3,5,5,3,2,4,4,4,3,1,2,3,2,2,1
812,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
813,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2
814,3,5,5,3,2,4,4,4,3,1,2,3,2,2,2
815,4,5,4,4,4,4,4,3,4,3,2,1,2,3,2
816,5,4,3,5,3,5,2,5,5,3,1,2,1,3,2
817,1,1,1,1,1,1,5,1,1,2,3,1,1,1,2
818,2,2,2,2,1,2,1,2,2,3,1,2,1,2,2
819,3,5,5,3,4,4,4,3,4,3,2,1,2,3,1
820,4,3,4,4,3,3,3,5,4,2,1,3,1,5,2
821,3,5,5,3,4,4,4,4,3,1,2,3,1,3,1
822,3,5,5,3,4,4,4,4,3,1,2,3,1,4,2
823,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
824,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
825,4,3,4,4,3,3,3,5,4,2,1,3,2,2,1
826,2,2,2,2,2,2,1,4,3,2,1,3,3,2,2
827,2,2,2,2,2,2,1,4,3,2,1,3,2,1,2
828,5,3,3,5,3,5,2,5,5,3,1,2,2,4,2
829,5,4,3,5,5,5,2,5,5,3,1,2,2,1,2
830,1,1,1,1,1,1,5,1,1,2,3,1,2,2,1
831,4,3,4,4,3,3,3,5,4,2,1,3,2,2,2
832,5,4,3,5,5,5,2,5,5,3,1,2,2,5,2
833,3,5,5,3,2,2,1,4,3,2,1,3,2,2,2
834,5,4,3,5,5,5,2,5,5,3,1,2,2,3,2
835,2,2,2,2,2,2,1,4,3,2,1,3,2,1,2
836,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
837,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
838,3,5,5,3,4,4,4,4,3,1,2,3,1,1,2
839,3,5,5,3,4,4,4,4,3,1,2,3,2,2,2
840,3,5,5,3,4,4,4,4,3,1,2,3,2,1,2
841,5,3,3,5,3,5,2,5,5,3,1,2,2,1,2
842,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
843,4,5,4,4,4,4,4,3,4,3,2,1,1,1,2
844,5,4,3,5,5,5,2,5,5,3,1,2,2,4,2
845,3,5,5,3,2,4,4,4,3,1,2,3,1,3,2
846,4,3,4,4,4,3,3,3,4,3,1,2,1,1,2
847,5,4,3,5,5,5,2,5,5,3,1,2,1,3,2
848,5,4,3,5,5,5,2,5,5,3,1,2,1,2,2
849,5,3,3,5,3,5,2,5,5,3,1,2,3,3,2
850,4,3,4,4,3,3,3,5,5,3,1,2,2,1,2
851,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
852,5,3,3,5,3,5,2,5,5,3,1,2,1,4,2
853,4,3,4,4,4,3,3,3,4,3,1,2,2,2,2
854,3,5,5,3,2,4,4,4,3,1,2,3,2,5,2
855,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
856,4,3,4,4,3,3,3,5,4,2,1,3,1,1,2
857,2,2,2,2,2,2,1,4,3,2,1,3,1,1,2
858,2,2,2,2,2,2,1,4,3,2,1,3,2,2,2
859,5,4,3,5,5,5,2,5,5,3,1,2,2,2,2
860,5,3,3,5,3,5,2,5,5,3,1,2,2,4,2
861,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
862,4,3,4,4,3,3,3,5,5,3,1,2,1,1,1
863,5,4,3,5,5,5,2,5,5,3,1,2,1,1,2
864,4,3,4,4,4,3,3,3,4,3,1,2,1,2,2
865,5,4,3,5,5,5,2,5,5,3,1,2,2,4,2
